game_id,_id_game,over_under,Result
9597,664f7ee236cf90b9bbe8c46c,226.0,Over
9598,664f7ee236cf90b9bbe8c46d,232.0,Over
9599,664f7ee236cf90b9bbe8c46e,226.0,Over
9600,664f7ee236cf90b9bbe8c46f,231.5,Under
9601,664f7ee236cf90b9bbe8c470,215.0,Under
9602,664f7ee236cf90b9bbe8c471,226.0,Under
9603,664f7ee236cf90b9bbe8c472,216.0,Over
9604,664f7ee236cf90b9bbe8c473,234.5,Under
9605,664f7ee236cf90b9bbe8c474,221.0,Over
9606,664f7ee236cf90b9bbe8c475,236.5,Over
9607,664f7ee236cf90b9bbe8c476,232.5,Under
9608,664f7ee236cf90b9bbe8c477,221.5,Over
9609,664f7ee236cf90b9bbe8c478,203.0,Under
9611,664f7ee236cf90b9bbe8c47a,221.5,Under
9612,664f7ee236cf90b9bbe8c47b,224.0,Under
9613,664f7ee236cf90b9bbe8c47c,204.0,Under
9614,664f7ee236cf90b9bbe8c47d,234.5,Under
9615,664f7ee236cf90b9bbe8c47e,209.5,Over
9616,664f7ee236cf90b9bbe8c47f,224.0,Under
9617,664f7ee236cf90b9bbe8c480,220.5,Over
9618,664f7ee236cf90b9bbe8c481,220.5,Over
9619,664f7ee236cf90b9bbe8c482,219.0,Over
9620,664f7ee236cf90b9bbe8c483,217.0,Over
9621,664f7ee236cf90b9bbe8c484,224.5,Under
9622,664f7ee236cf90b9bbe8c485,218.0,Under
9623,664f7ee236cf90b9bbe8c486,214.0,Over
9624,664f7ee236cf90b9bbe8c487,221.5,Under
9631,664f7ee236cf90b9bbe8c488,223.5,Over
9632,664f7ee236cf90b9bbe8c489,216.5,Under
9633,664f7ee236cf90b9bbe8c48a,222.5,Under
9634,664f7ee236cf90b9bbe8c48b,220.0,Under
9635,664f7ee236cf90b9bbe8c48c,233.0,Under
9636,664f7ee236cf90b9bbe8c48d,199.5,Over
9637,664f7ee236cf90b9bbe8c48e,223.0,Under
9638,664f7ee236cf90b9bbe8c48f,222.0,Under
9639,664f7ee236cf90b9bbe8c490,221.5,Over
9640,664f7ee236cf90b9bbe8c491,216.0,Under
9641,664f7ee236cf90b9bbe8c492,226.5,Under
9642,664f7ee236cf90b9bbe8c493,221.5,Under
9643,664f7ee236cf90b9bbe8c494,213.5,Over
9644,664f7ee236cf90b9bbe8c495,206.0,Over
9645,664f7ee236cf90b9bbe8c496,215.0,Over
