commence_time,home_team,away_team
2022-11-02T22:11:18Z,Philadelphia 76ers,Washington Wizards
2022-11-27T23:10:00Z,Detroit Pistons,Cleveland Cavaliers
2021-12-18T00:30:00Z,Boston Celtics,Golden State Warriors
2022-11-02T23:41:00Z,New York Knicks,Atlanta Hawks
2021-10-21T00:30:00Z,San Antonio Spurs,Orlando Magic
2022-10-19T23:40:00Z,Atlanta Hawks,Houston Rockets
2023-01-05T01:00:00Z,Chicago Bulls,Brooklyn Nets
2022-12-03T00:40:31Z,Atlanta Hawks,Denver Nuggets
2022-01-01T01:10:28Z,Memphis Grizzlies,San Antonio Spurs
2022-01-30T23:10:00Z,Detroit Pistons,Cleveland Cavaliers
2021-12-12T01:40:00Z,San Antonio Spurs,Denver Nuggets
2022-04-10T19:40:00Z,Charlotte Hornets,Washington Wizards
2022-12-27T03:00:00Z,Portland Trail Blazers,Charlotte Hornets
2021-12-04T00:41:12Z,Brooklyn Nets,Minnesota Timberwolves
2021-12-30T00:10:00Z,Indiana Pacers,Charlotte Hornets
2021-10-21T00:13:21Z,Minnesota Timberwolves,Houston Rockets
2022-03-10T01:40:10Z,San Antonio Spurs,Toronto Raptors
2022-10-26T23:41:02Z,Toronto Raptors,Philadelphia 76ers
2022-02-17T00:10:00Z,Orlando Magic,Atlanta Hawks
2021-11-27T00:11:37Z,New York Knicks,Phoenix Suns
2021-12-09T01:10:00Z,New Orleans Pelicans,Denver Nuggets
2022-10-22T00:12:03Z,Minnesota Timberwolves,Utah Jazz
2022-01-31T00:10:00Z,Milwaukee Bucks,Denver Nuggets
2021-11-09T02:10:00Z,Denver Nuggets,Miami Heat
2022-01-27T00:10:22Z,Cleveland Cavaliers,Milwaukee Bucks
2022-02-04T03:10:00Z,Golden State Warriors,Sacramento Kings
2022-12-29T01:10:00Z,Chicago Bulls,Milwaukee Bucks
2022-01-26T00:10:00Z,Washington Wizards,Los Angeles Clippers
2022-02-01T00:11:08Z,Cleveland Cavaliers,New Orleans Pelicans
2022-02-07T02:10:00Z,Los Angeles Clippers,Milwaukee Bucks
2022-12-11T23:11:32Z,Philadelphia 76ers,Charlotte Hornets
2022-01-08T01:11:14Z,Houston Rockets,Dallas Mavericks
2021-11-24T03:40:00Z,Los Angeles Clippers,Dallas Mavericks
2022-10-19T23:40:00Z,Miami Heat,Chicago Bulls
2022-03-26T00:11:57Z,Miami Heat,New York Knicks
2022-03-29T00:11:00Z,Memphis Grizzlies,Golden State Warriors
2021-11-21T01:10:00Z,Milwaukee Bucks,Orlando Magic
2021-12-30T02:10:51Z,Phoenix Suns,Oklahoma City Thunder
2022-11-29T03:10:56Z,Sacramento Kings,Phoenix Suns
2022-10-23T00:30:00Z,Dallas Mavericks,Memphis Grizzlies
2022-11-26T01:12:20Z,Miami Heat,Washington Wizards
2022-03-12T01:11:07Z,Houston Rockets,Dallas Mavericks
2022-10-28T23:46:21Z,Washington Wizards,Indiana Pacers
2022-01-03T00:10:00Z,Charlotte Hornets,Phoenix Suns
2021-12-07T00:40:00Z,Miami Heat,Memphis Grizzlies
2021-11-04T02:10:00Z,Sacramento Kings,New Orleans Pelicans
2021-11-09T03:10:34Z,Sacramento Kings,Phoenix Suns
2021-12-29T00:40:56Z,Toronto Raptors,Philadelphia 76ers
2022-04-19T02:00:00Z,Golden State Warriors,Denver Nuggets
2022-02-05T22:10:35Z,Orlando Magic,Memphis Grizzlies
2022-04-06T00:10:00Z,Oklahoma City Thunder,Portland Trail Blazers
2021-10-24T23:10:44Z,Houston Rockets,Boston Celtics
2022-02-26T01:10:00Z,Minnesota Timberwolves,Philadelphia 76ers
2022-11-27T22:10:00Z,Atlanta Hawks,Miami Heat
2022-03-30T23:40:00Z,New York Knicks,Charlotte Hornets
2022-12-18T02:10:00Z,Phoenix Suns,New Orleans Pelicans
2021-11-09T01:40:25Z,Dallas Mavericks,New Orleans Pelicans
2022-02-27T01:10:00Z,Miami Heat,San Antonio Spurs
2022-11-26T03:30:00Z,Los Angeles Clippers,Denver Nuggets
2022-04-18T01:00:00Z,Phoenix Suns,New Orleans Pelicans
2022-03-13T23:10:48Z,New Orleans Pelicans,Houston Rockets
2022-12-20T00:10:00Z,Philadelphia 76ers,Toronto Raptors
2021-10-24T02:10:00Z,Portland Trail Blazers,Phoenix Suns
2022-03-03T00:40:00Z,Philadelphia 76ers,New York Knicks
2022-10-24T23:40:00Z,Miami Heat,Toronto Raptors
2022-01-12T00:40:00Z,Toronto Raptors,Phoenix Suns
2022-11-11T00:40:00Z,Atlanta Hawks,Philadelphia 76ers
2022-04-21T00:00:00Z,Toronto Raptors,Philadelphia 76ers
2022-10-23T00:14:08Z,Chicago Bulls,Cleveland Cavaliers
2022-11-29T01:10:00Z,New Orleans Pelicans,Oklahoma City Thunder
2022-11-17T01:10:00Z,Milwaukee Bucks,Cleveland Cavaliers
2022-04-23T23:30:00Z,Brooklyn Nets,Boston Celtics
2022-10-22T23:00:00Z,Orlando Magic,Boston Celtics
2021-11-14T00:41:00Z,Toronto Raptors,Detroit Pistons
2021-12-12T01:10:00Z,Memphis Grizzlies,Houston Rockets
2021-12-19T00:40:00Z,Toronto Raptors,Golden State Warriors
2022-01-30T01:10:00Z,Miami Heat,Toronto Raptors
2022-02-02T00:35:43Z,Milwaukee Bucks,Washington Wizards
2022-03-30T23:40:00Z,Boston Celtics,Miami Heat
2021-11-05T02:11:19Z,Phoenix Suns,Houston Rockets
2022-02-11T01:10:00Z,Houston Rockets,Toronto Raptors
2022-12-10T01:40:00Z,New Orleans Pelicans,Phoenix Suns
2021-12-24T00:10:00Z,Indiana Pacers,Houston Rockets
2022-02-07T00:10:00Z,Houston Rockets,New Orleans Pelicans
2022-03-13T02:10:48Z,Denver Nuggets,Toronto Raptors
2022-04-16T19:40:00Z,Memphis Grizzlies,Minnesota Timberwolves
2021-12-01T00:40:00Z,Toronto Raptors,Memphis Grizzlies
2022-10-30T19:10:00Z,Los Angeles Clippers,New Orleans Pelicans
2022-10-30T23:10:00Z,San Antonio Spurs,Minnesota Timberwolves
2022-11-20T00:40:00Z,Philadelphia 76ers,Minnesota Timberwolves
2022-12-11T00:12:25Z,Washington Wizards,Los Angeles Clippers
2021-11-01T23:09:14Z,Philadelphia 76ers,Portland Trail Blazers
2022-11-08T02:15:00Z,Minnesota Timberwolves,New York Knicks
2022-10-20T02:10:00Z,Sacramento Kings,Portland Trail Blazers
2022-11-27T22:10:14Z,Atlanta Hawks,Miami Heat
2022-01-06T00:10:46Z,Charlotte Hornets,Detroit Pistons
2022-01-29T00:42:00Z,Charlotte Hornets,Los Angeles Lakers
2022-01-29T01:11:18Z,Memphis Grizzlies,Utah Jazz
2022-11-28T01:10:00Z,Milwaukee Bucks,Dallas Mavericks
2022-10-25T00:10:54Z,Chicago Bulls,Boston Celtics
2022-01-29T01:05:00Z,Miami Heat,Los Angeles Clippers
2022-01-29T00:41:00Z,Atlanta Hawks,Boston Celtics
2022-03-12T00:40:40Z,Boston Celtics,Detroit Pistons
2022-12-08T00:10:00Z,Orlando Magic,Los Angeles Clippers
2022-12-15T02:10:17Z,Dallas Mavericks,Cleveland Cavaliers
2021-12-05T03:10:00Z,Sacramento Kings,Los Angeles Clippers
2022-02-25T00:47:47Z,Brooklyn Nets,Boston Celtics
2022-04-19T00:40:46Z,Dallas Mavericks,Utah Jazz
2022-02-01T01:10:00Z,Oklahoma City Thunder,Portland Trail Blazers
2022-03-06T01:10:00Z,Memphis Grizzlies,Orlando Magic
2021-12-22T03:05:00Z,Los Angeles Lakers,Phoenix Suns
2022-01-29T00:45:30Z,Charlotte Hornets,Los Angeles Lakers
2022-03-12T01:10:00Z,Memphis Grizzlies,New York Knicks
2021-11-16T00:40:00Z,New York Knicks,Indiana Pacers
2022-11-24T00:40:00Z,Miami Heat,Washington Wizards
2022-03-31T23:30:00Z,Brooklyn Nets,Milwaukee Bucks
2021-11-16T03:40:00Z,Los Angeles Lakers,Chicago Bulls
2022-03-04T00:40:00Z,Boston Celtics,Memphis Grizzlies
2022-02-01T01:10:00Z,Houston Rockets,Golden State Warriors
2022-10-20T23:33:27Z,Philadelphia 76ers,Milwaukee Bucks
2022-11-24T00:40:22Z,Atlanta Hawks,Sacramento Kings
2021-10-25T23:10:41Z,Charlotte Hornets,Boston Celtics
2021-10-29T23:45:35Z,Miami Heat,Charlotte Hornets
2021-10-25T23:40:51Z,Brooklyn Nets,Washington Wizards
2022-01-31T01:10:00Z,Minnesota Timberwolves,Utah Jazz
2022-02-08T02:10:00Z,Utah Jazz,New York Knicks
2022-02-15T01:05:00Z,New Orleans Pelicans,Toronto Raptors
2022-02-26T00:10:00Z,Washington Wizards,San Antonio Spurs
2022-10-25T00:10:34Z,Minnesota Timberwolves,San Antonio Spurs
2021-12-24T00:10:00Z,Philadelphia 76ers,Atlanta Hawks
2021-11-07T00:10:00Z,Chicago Bulls,Philadelphia 76ers
2022-04-10T23:10:00Z,Memphis Grizzlies,Boston Celtics
2022-03-20T22:10:00Z,Orlando Magic,Oklahoma City Thunder
2021-12-07T01:10:24Z,Minnesota Timberwolves,Atlanta Hawks
2022-02-17T01:12:13Z,Chicago Bulls,Sacramento Kings
2022-03-16T23:10:00Z,Charlotte Hornets,Atlanta Hawks
2022-03-23T23:10:00Z,Indiana Pacers,Sacramento Kings
2021-11-07T00:41:18Z,Dallas Mavericks,Boston Celtics
2022-05-01T17:00:00Z,Boston Celtics,Milwaukee Bucks
2022-12-13T00:05:00Z,Washington Wizards,Brooklyn Nets
2022-12-20T00:40:27Z,Atlanta Hawks,Orlando Magic
2022-03-21T23:10:00Z,Cleveland Cavaliers,Los Angeles Lakers
2022-11-06T01:10:00Z,Denver Nuggets,San Antonio Spurs
2022-12-20T01:10:33Z,Minnesota Timberwolves,Dallas Mavericks
2022-11-10T01:05:00Z,Minnesota Timberwolves,Phoenix Suns
2022-05-04T23:30:00Z,Miami Heat,Philadelphia 76ers
2022-12-27T01:00:00Z,San Antonio Spurs,Utah Jazz
2022-12-24T00:40:00Z,Boston Celtics,Minnesota Timberwolves
2021-10-24T00:10:00Z,Minnesota Timberwolves,New Orleans Pelicans
2022-03-20T19:40:00Z,Indiana Pacers,Portland Trail Blazers
2022-03-21T00:40:00Z,Philadelphia 76ers,Toronto Raptors
2022-03-31T00:40:00Z,San Antonio Spurs,Memphis Grizzlies
2022-11-03T02:15:50Z,Portland Trail Blazers,Memphis Grizzlies
2022-01-04T01:40:41Z,Dallas Mavericks,Denver Nuggets
2021-12-31T23:10:00Z,Sacramento Kings,Dallas Mavericks
2022-01-13T00:40:30Z,Atlanta Hawks,Miami Heat
2021-12-29T01:10:00Z,Minnesota Timberwolves,New York Knicks
2022-01-15T00:10:57Z,Indiana Pacers,Phoenix Suns
